"wellN","PN1","PN2","PN3","PN4","PN5","PN6","PN7","PN8","PN9","PN10","PN11","PN12","PN13","PN14","PN15","PN16","PN17","PN18","PN19","PN20","PN21","PN22","PN23","PN24","PN25","PN26","PN27","PN28","PN29","PN30","PN31","PN32","PN33","PN34","PN35","PN36","PN37","PN38","PN39","PN40","PN41","PN42","PN43","PN44","PN45","PN46","PN47","PN48","PN49","PN50","PN51","PN52","PN53","PN54","PN55","PN56","PN57","PN58","PN59","PN60","PN61","PN62","PN63","PN64","PN65","PN66","PN67","PN68","PN69","PN70","PN71","PN72","PN73","PN74","PN75","PN76","PN77","PN78","PN79","PN80","PN81","PN82","PN83","PN84","PN85","PN86"
63,9,30,57,77,NA,242,NA,259,NA,293,307,NA,NA,480,NA,514,NA,534,NA,560,NA,581,591,593,656,678,721,736,NA,975,976,1028,NA,1067,NA,NA,1100,1128,1142,NA,NA,NA,1296,1363,1370,NA,NA,1555,1570,NA,NA,NA,NA,1746,NA,NA,1787,NA,1882,1933,1934,NA,1979,2143,NA,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2394,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,9,30,31,89,232,NA,247,259,NA,294,295,NA,444,483,494,511,533,536,NA,548,567,581,589,632,NA,657,721,738,756,757,1016,1018,1065,1067,1097,1099,1121,NA,1142,1222,1225,1262,1296,1297,1366,1421,1542,1543,1622,1643,1679,1734,NA,1760,1767,1785,1795,1799,NA,1883,1938,1976,2014,2015,NA,2165,NA,2208,2255,2267,2288,NA,2313,2339,2340,2376,2413,2415,2454,NA,NA,2468,NA,2579,NA,NA
65,9,30,32,77,NA,242,NA,259,NA,294,295,NA,NA,483,NA,514,NA,536,NA,548,NA,581,591,626,656,660,721,738,NA,975,1000,1026,NA,1067,NA,NA,1101,1127,1142,NA,1260,NA,1296,1363,1366,1430,1542,1544,1622,NA,NA,NA,NA,1757,1767,NA,1787,1819,1882,1933,1938,NA,1997,2049,NA,2168,NA,2218,NA,NA,NA,2300,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
66,9,30,37,83,NA,233,NA,259,NA,294,295,NA,450,483,NA,514,NA,536,NA,548,567,581,591,632,644,658,721,738,NA,975,1016,1025,1065,1067,NA,1099,1118,1127,1142,NA,1260,1262,1296,1363,1366,1430,1542,1543,1622,NA,NA,NA,NA,1757,1767,1786,1787,1819,1882,1909,1938,1977,2014,2044,2155,2168,NA,2223,NA,2267,NA,2297,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
67,9,30,66,77,NA,242,NA,259,NA,293,376,NA,NA,480,NA,514,NA,534,NA,560,NA,581,591,594,656,711,721,736,NA,975,976,1028,NA,1067,NA,NA,1100,1128,1146,NA,NA,NA,1296,1363,1370,NA,NA,1555,1566,NA,NA,NA,NA,1742,NA,NA,1787,NA,1882,1933,1934,NA,1979,2143,NA,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2405,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,232,NA,244,259,264,NA,NA,434,435,NA,495,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,725,755,757,NA,NA,1041,NA,1081,1098,NA,NA,NA,1224,1225,1261,NA,1297,NA,1419,1454,NA,NA,1643,1679,1734,1741,NA,1761,1768,NA,1850,NA,NA,NA,1958,NA,NA,NA,NA,2175,NA,2234,2256,2288,NA,2313,2339,NA,2369,NA,2415,2454,2462,2466,2469,2475,2476,2583,2584
69,NA,NA,76,102,225,233,247,248,NA,267,426,434,466,483,484,NA,533,NA,547,548,567,NA,591,632,633,657,NA,722,756,973,1017,1018,1065,1066,1097,1099,1126,1127,1215,1217,1260,1262,NA,1309,1366,1430,1542,1543,1622,NA,1676,NA,1741,1744,1767,1786,1797,1846,1867,1907,1938,1978,2014,2092,2154,2156,NA,2223,2254,2267,2288,2289,2313,NA,2342,2365,2413,2414,2450,NA,NA,2467,2475,2559,NA,NA
70,NA,NA,NA,NA,169,NA,244,NA,264,NA,NA,434,435,NA,NA,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,755,757,NA,NA,1041,NA,1081,1098,NA,NA,NA,NA,1225,1261,NA,NA,NA,1419,1431,NA,NA,1627,1679,1734,1741,NA,1761,1768,NA,1799,NA,NA,NA,1958,NA,NA,NA,NA,2175,NA,2244,2258,2288,NA,2313,2328,NA,2376,NA,2415,2454,2462,2466,NA,2475,2476,2583,2585
71,NA,NA,37,NA,232,NA,247,249,263,294,NA,434,444,NA,495,NA,533,NA,NA,NA,567,581,589,632,NA,657,NA,724,756,773,NA,1018,1065,1067,1097,1099,NA,NA,1200,1222,1241,1262,NA,1297,NA,1426,1502,1543,1622,1643,1676,1734,1741,1760,1761,1786,NA,1850,NA,1883,NA,1975,NA,2015,NA,2156,2175,2211,2254,2256,2288,NA,2313,2339,2340,2365,2413,2415,2454,2462,2466,2469,2475,2512,2583,2584
72,NA,NA,31,NA,232,NA,247,259,264,294,NA,434,444,NA,495,NA,533,536,NA,NA,567,581,589,632,NA,657,721,730,756,757,NA,1018,1065,1067,1097,1099,NA,NA,1186,1222,1230,1262,NA,1297,NA,1419,1506,1543,1622,1643,1679,1734,1741,1760,1761,1785,NA,1850,NA,1883,NA,1975,NA,2015,NA,2156,2175,2208,2254,2267,2288,NA,2313,2339,2340,2365,2413,2415,2454,2462,2466,2469,2475,2517,2583,2584
73,NA,NA,NA,NA,222,NA,247,248,263,268,NA,434,435,NA,495,NA,533,NA,NA,NA,563,NA,NA,NA,NA,657,NA,722,739,785,NA,NA,1029,1066,1097,1098,NA,NA,1215,1223,1241,1262,NA,1297,NA,1426,1502,1543,1622,1643,1656,1734,1741,1760,1761,1786,NA,1850,NA,NA,NA,1950,NA,2015,NA,2156,2174,NA,2224,2256,2288,NA,2313,2339,NA,2365,NA,2414,2454,2462,2466,2469,2475,2478,2583,2584
