"wellN","RN1","RN2","RN3","RN4","RN5","RN6","RN7","RN8","RN9","RN10","RN11","RN12","RN13","RN14","RN15","RN16","RN17","RN18","RN19","RN20","RN21","RN22","RN23","RN24","RN25","RN26","RN27","RN28","RN29","RN30","RN31","RN32","RN33","RN34","RN35","RN36","RN37","RN38","RN39","RN40","RN41","RN42","RN43","RN44","RN45","RN46","RN47","RN48","RN49","RN50","RN51","RN52","RN53","RN54","RN55","RN56","RN57","RN58","RN59","RN60","RN61","RN62","RN63","RN64","RN65","RN66","RN67","RN68","RN69","RN70","RN71","RN72","RN73","RN74","RN75","RN76","RN77","RN78","RN79","RN80","RN81","RN82","RN83","RN84","RN85","RN86"
96,NA,NA,0.00607527333110781,0.00453508730574908,0.0104728819277841,NA,0.0111870537903474,0.0074237694200484,0.00501143284649861,0.00615994884758996,NA,0.00532457704295933,0.0122871406888326,NA,0.0061183393366816,NA,0.00643164608663721,0.00492454103468272,NA,NA,0.0116079225222061,0.00630616244737633,0.0064405496585768,0.00637656436711011,NA,0.00515148503285436,0.00487174154193939,0.00757261154580555,0.0116313998017098,0.0196281875242355,NA,0.00642344453740691,0.0202009010759379,0.00690005755477836,0.00916826720436136,0.0176318789340486,NA,NA,0.00555472716221877,0.00588368769487287,0.0336258060123109,0.0175143559700593,0.00475021297133931,0.00855490381320835,NA,0.0440897909731325,0.272093160214112,0.00537923146146779,0.00572787630644797,0.007188924967174,0.0107975195039114,0.00646724768909135,0.00546820441255016,0.00689980142314674,0.0565755827925315,0.021473285908378,NA,0.0336971063173069,NA,0.0061017365903675,NA,0.0117038596504651,NA,0.00728769679069823,NA,0.00745991079482518,0.0054010718347453,0.00623727283569154,0.0137660336303607,0.0173198107566071,0.00759121321610305,NA,0.00572613097820151,0.00859706471436293,0.00637656436711011,0.0138207788444718,0.00571172704076246,0.00762217113167309,0.00714654647703635,0.00496867758080848,0.0054010718347453,0.00585020276899853,0.00514829549922808,0.0535927060338856,0.00480857059018287,0.00475659503814305
97,0.0155597262647663,0.0163225551300674,0.0178330447201282,NA,0.0164529439676915,NA,0.0183388682854285,0.0150367073042799,NA,NA,NA,NA,0.0160622709339931,NA,NA,0.0164012746167858,NA,0.0187279490475232,NA,NA,0.015667350376085,0.0290941126566091,0.0291694448036657,0.023591604213123,NA,NA,0.0185315485632804,0.0156155706274569,0.017551329804893,0.0235495473367215,NA,0.0278801772302254,0.021599732058387,0.0140088227251909,0.0141655423050944,0.0318145533291918,NA,NA,0.0145831758418366,NA,0.0260287115371368,0.0316944242341035,0.0182746981443817,0.0167594620276866,NA,0.0271462253143989,0.0342761958140045,NA,NA,0.0145083884562779,0.018036986142767,0.0138216449485965,NA,0.014008335716676,0.0272392703970886,0.0216053456331247,NA,0.0335721431589623,NA,0.026181714824652,NA,0.0157344265909766,NA,0.0157822626061622,NA,0.0158080074994196,NA,0.0202444031533584,0.0211417906959705,0.0314943635905502,NA,NA,NA,0.0155783269636631,0.023591604213123,0.0226512850633229,0.0201320436260954,NA,NA,NA,NA,NA,NA,0.0271300875050764,NA,NA
98,NA,NA,0.0177922241475785,0.0820290537016653,NA,0.0449719870177361,NA,0.0115420515836841,NA,0.0127840085673168,0.0255891235207134,NA,NA,0.0256204308637723,NA,NA,NA,0.00766869811077547,0.00933288300628845,0.0660704320605319,NA,0.00657885204447341,0.00690410481299364,0.00800599629915491,0.0163704358181196,0.0502697768985684,0.0076393671222017,0.0120828964659389,NA,0.0104361979832263,0.026833362669766,0.00695646373534599,NA,0.0116308379883237,NA,NA,0.040090764741834,0.0446097893205991,0.0219953305922782,NA,0.00707670971335674,NA,0.00742343715913593,0.0124951724950151,0.0724793066286488,0.00639535820475186,NA,0.0243835067464676,0.0153569558132698,NA,NA,NA,NA,0.0126782384424904,NA,NA,0.0812807204541185,0.0065200305195265,0.0136760838929024,0.00743475597026626,0.0261003782688202,NA,0.0404766724310665,0.0216228732739194,0.0102112476662707,0.0124951724950151,NA,0.0116071616864915,NA,NA,NA,0.0190495971602592,NA,NA,0.00871577595266088,NA,0.00871577595266088,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,0.00695018973521458,0.00774770785082611,0.0268022170356636,0.013927615958825,0.00727934033175644,0.00903869243842082,0.00722081226195408,0.0254567998924428,NA,0.0168220173359391,0.0102062491268349,NA,0.0102264239318843,0.0107862574858403,0.00746139422394937,0.00827997866311987,NA,0.0117599759633515,0.00729734815530293,0.0121356866686412,0.00969846007977678,0.0128196129331099,0.0139426136581777,0.0172013825297822,0.00843431445405919,0.016730837761487,0.0115721951643984,0.0321745993185208,0.00752715264652787,0.0353680223022478,0.0119553458670765,0.0139426136581777,0.00904367986082973,0.0199722325743333,0.00796182260887818,0.00870576661995833,0.0129131245369384,0.00893206674128336,0.0219638024361005,0.00744377931820512,0.0209310996096823,0.00868144620095969,0.0109902140743997,0.0420667258099589,0.0115443610870446,0.0164984395674158,0.0146328320249151,0.0184154504142892,0.0137943912693721,NA,0.00711342831554245,NA,NA,0.0199700380984327,0.0154173842183412,0.00959027820586647,0.011647537854309,0.0180135695362622,0.00839732486004634,0.013374576356399,0.010966575815749,0.00956390618023647,0.0128858783631559,0.036676911179365,0.00757077217474634,0.036676911179365,NA,0.0261706079277778,0.00776125529969693,0.00864101537018451,0.00694113243455854,0.00805158953978493,NA,NA,0.0172226440609971,0.00776044733107923,0.0162857791789189,0.00694826841674204,0.00821397306049711,NA,NA,0.00746371863573141,NA,0.0154173842183412,NA,NA
100,0.0110887599857346,0.0122712832368371,0.0192019811066784,0.0245163924034217,NA,0.0178451156680285,NA,0.0109002158813429,NA,0.0107677872634116,0.267765900132719,NA,NA,0.0404439379642929,NA,0.0135749306337149,NA,0.0154114932898833,NA,0.0168668710208785,NA,0.0111853536045076,0.0116390897060129,0.0140953013031854,0.0113731705889596,0.0163192903596424,0.0154114932898833,0.0115294342491745,NA,0.0107526694190899,0.0600671303176745,0.011968764522137,NA,0.0105803538888489,NA,NA,0.0322252992689087,0.0179113800917184,0.0189477709599475,NA,NA,NA,0.0152085128788514,0.0120863319643539,0.0174863208021129,NA,NA,0.0147862500022356,0.0109514972632445,NA,NA,NA,NA,0.0107440357946564,NA,NA,0.0174319999790575,NA,0.0102999978499386,0.0140733319566573,0.0388059262312322,NA,0.0367637671322403,0.0144804825561031,NA,0.0120485165027297,NA,0.016571893455093,NA,NA,NA,0.0124896734872977,NA,NA,0.0153327396340003,NA,0.0157775523535617,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,0.00588613468072687,NA,0.0191405586107213,NA,0.0207735897387743,0.00747945658743717,0.00699341040382103,0.00647268953602987,NA,0.00728264898002074,0.0172580903246169,NA,0.00783977151107679,NA,0.00911974749091943,NA,NA,NA,0.0168093154449683,0.00603252930612347,0.00612788438746162,0.00606674844025792,NA,0.00533514107281779,NA,0.00753983592623551,0.0227379612925731,0.0148908802844771,NA,0.00611388215212705,0.0775620539579332,0.00712820571373492,0.0139746436090853,0.0222336805527478,NA,NA,0.00563395331708475,0.00745033396564228,0.019703332539381,0.0221892667205966,NA,0.00830001711966109,NA,0.0215984532689231,0.0489211708780255,0.00553824412605971,0.00615010931401131,0.0110519490151799,0.019663523302493,0.00959273111089595,0.00751078672106837,0.00712802632085645,0.0237730259947725,0.0870260354158063,NA,0.0196507964880749,NA,0.00585988302589308,NA,0.017177112891263,NA,0.00717999636196771,NA,0.00739094889503299,0.0077295815678742,0.00599276025033328,0.0272210666955102,0.0241297650590915,0.0112876047466707,NA,0.00791764295533598,0.0142221240953132,0.00606674844025792,0.0271796113478076,0.00554268630881365,0.0113549213720031,0.00927901120069718,0.00692568877366281,0.0077295815678742,0.00738230334830419,0.00698979463549375,0.11051580386277,0.00666637057424691,0.0065783764005628
102,NA,NA,0.0164999756399134,0.0384129445963451,NA,0.0237004736016134,NA,0.0185887329853004,NA,0.0251384697371942,0.0139548079026218,NA,0.00772860728390354,0.0140962256678319,0.00744187122018025,NA,NA,0.00734892782642579,0.0148119251875323,0.0504820275951099,0.00730554286754357,NA,0.00714308428388517,0.00815780599075217,0.0267955206100784,0.0644483072584673,0.00730510300723036,0.018095757260114,NA,0.0148392189109087,0.0153507565776907,0.00714308428388517,NA,0.0198388391777807,NA,NA,0.0197662451407345,0.0221951394878608,0.036031917680171,0.00755010697864196,0.00900109087467575,NA,0.0070914099808818,0.0178638306541093,0.0418978596399808,0.00799528541565507,0.00752019067100935,0.0427324050934729,0.0432675295178635,NA,NA,NA,NA,0.0245569792474931,0.0076938134137359,NA,0.0418992831717765,0.00807283476935249,0.0246783224050554,0.00738693123213587,0.0145017847306792,0.00720806727896464,0.0197662451407345,0.036409421378099,0.0166950554112073,0.0178638306541093,NA,0.0115372240588228,NA,NA,NA,0.0240704412451517,NA,NA,0.00854760921523821,NA,0.00854760921523821,NA,0.00755799733326091,NA,NA,0.00759824895230829,NA,0.0078672805392719,NA,NA
103,0.0102757929864392,0.0110539223760901,0.0156243999682118,0.0099300867575513,0.0134376156591604,NA,0.0146348829672513,0.0139437614909534,NA,0.0115287286062743,NA,NA,0.014551106851997,NA,NA,0.0112869256420883,NA,0.0140863037848932,NA,NA,0.0140235337926666,0.0215224884472781,0.0218521826216588,0.019673855945637,NA,0.0107370357989202,0.0138947612189456,0.0145839982245103,0.0144234668346434,0.0270608821307789,NA,0.0216024666299064,0.0191252496713947,0.0127314472029477,0.012038746685172,0.0256651553258054,0.00974742934624907,NA,0.0125565985252191,NA,0.031108907889578,0.0255122758427594,0.0135249972482759,0.0161466301899689,NA,0.0328841886944855,0.0324880749482212,0.0112009922559492,0.0105692629434282,0.0109615697604952,0.0143239400752407,0.0102544504150692,NA,0.0127308824570276,0.0328149640700968,0.0191553907132815,NA,0.0513672922775251,NA,0.0199151629293784,NA,0.0140387716105187,0.00968994493726609,0.0147079573782967,NA,0.0147605733834609,NA,0.017094157305289,0.0171051051137105,0.0252602815250205,0.0106569460250248,NA,NA,0.0121715143526844,0.019673855945637,0.0179230829766425,0.0164105712127719,0.0106861065515598,0.0104745296557402,NA,NA,NA,NA,0.0327947938229526,NA,NA
104,0.19609923531939,0.197288350917319,0.0184050776213265,NA,NA,NA,NA,NA,NA,NA,0.0194779176567963,NA,NA,0.0150294621545496,NA,0.104917322019946,NA,0.0341138132811911,NA,NA,NA,0.0282416859212524,0.0258038286574991,0.0316629040017804,NA,NA,0.0367913715123233,NA,NA,NA,0.0164703090822694,0.0266281985319343,NA,NA,NA,NA,0.0150459950559183,NA,0.0155433672116519,NA,NA,NA,0.0743561927970896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0316629040017804,0.0149968069607247,NA,0.014894306757463,NA,NA,NA,NA,0.0245453017227855,NA,NA,NA,NA,NA,NA,0.0245771278031783,NA,0.0334485210118311,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,0.0160936645223285,0.0194903220245224,0.015257120333397,0.00829921428592446,NA,NA,NA,0.00822981045652487,NA,0.00714143014747924,0.00993640569567821,NA,NA,0.00832350328195031,NA,0.0205827104773905,NA,0.0304168472502937,NA,0.00698996396421498,NA,0.174034126785023,0.0948704317783889,0.0460553912119086,NA,0.00782065400375951,0.0296898225043546,0.00882904955238804,NA,0.00965300611045793,0.00891824371254672,0.0851109781396358,NA,0.00758619441211464,NA,0.00784807524135429,0.00867978689603817,NA,0.0107504590374418,NA,0.00965300611045793,0.00782895041958072,0.0292750128762505,0.0094159953678836,NA,0.00942279421819051,0.00919772619391944,0.008053154854721,NA,NA,NA,NA,NA,0.00758589163024312,0.00938092602219883,NA,0.00695673089872971,0.0108907724907779,NA,0.0884299832698557,0.00832880673568956,NA,0.00833274045871439,0.00920362706921259,NA,0.00920362706921259,NA,0.0266359953665724,NA,0.00779712702914733,NA,NA,NA,NA,0.0336816829979072,NA,0.0307373110734197,NA,NA,NA,NA,NA,NA,0.00938092602219883,NA,NA
106,0.0104505571237699,0.0118008256992727,0.0278140505352999,0.0122070793925757,0.00878821312966403,0.00865819739019286,0.00903861925044464,0.016178444166374,NA,0.0126727431434788,0.0114345825885672,NA,0.0108873247638094,0.0109772575887728,NA,0.0125179805907516,NA,0.0188993720564904,NA,0.0106323715369844,0.010446365526981,0.0276212667207485,0.0312660746489672,0.0370645594091001,NA,0.0129776519748963,0.0184676757286831,0.0179842510704684,0.00919233127279706,0.0223067282379347,0.0118329737378018,0.0312660746489672,0.0112855294494456,0.0141413646137577,0.00883962675934698,0.0121683051977116,0.012123980003848,0.00861066400960772,0.017922826809128,NA,0.0222278043043896,0.0121268291154583,0.0174240210631012,0.0201274553873178,0.0103144358922059,0.0200814417494555,0.0185920331951181,0.0137211973969542,0.0111738001544224,NA,0.00889389394550329,NA,NA,0.01414045951791,0.0194595989364915,0.0116335269047967,0.0103945241311488,0.0245560892949164,NA,0.0280483361429233,0.0110759483819465,0.0103663866549074,0.0119739719225698,0.0189571005679508,NA,0.0189571005679508,NA,0.0326676718454538,0.00995280313031624,0.0120580238742588,NA,NA,NA,NA,0.0370645594091001,0.0100791780404788,0.0274948317332679,NA,0.00850150902655518,NA,NA,NA,NA,0.0194595989364915,NA,NA
107,NA,NA,0.0103207244913567,0.0581760854117773,NA,0.0426950391474002,NA,0.00827622938320152,NA,0.0097162356037528,0.0123663391504998,NA,NA,0.0123744655065927,NA,NA,NA,0.00479896410980987,0.00775182623801978,0.0625564265022908,NA,NA,0.00444196077280406,0.00507646102448028,0.0160476081921353,0.0447420162063556,0.00477930976459384,0.00844201079645233,NA,0.00726511559067741,0.0127644330569585,0.00446295558148655,NA,0.00853180514667691,NA,NA,0.0169322254581494,0.0364553147120537,0.0149722692657193,NA,0.00488078081790741,NA,0.00465225368068391,0.00857490472704432,0.344470094405578,NA,NA,0.0171521260522565,0.0136511542221975,NA,NA,NA,NA,0.0096058290800934,NA,NA,0.0624313717466064,0.00446267376483696,0.0125255540408138,0.00470649203849581,0.0124775648235282,NA,0.0169599790641993,0.0149814763161168,0.00864537047458025,0.00857490472704432,NA,0.00712233416754652,NA,NA,NA,0.0192998016261281,NA,NA,0.00543975655554919,NA,0.00543975655554919,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,0.0274405817570583,NA,0.032054624363858,NA,0.0227016949882598,NA,NA,NA,0.0228638510208702,NA,NA,NA,NA,NA,NA,NA,0.0226598414546892,0.0267840639435601,0.0266842136156616,0.0234089945101591,NA,NA,NA,NA,0.029221419449335,0.0268378765614849,NA,0.025920527262361,0.033010417973874,NA,NA,0.0513994651710417,NA,NA,NA,NA,0.0298484361839954,0.0514352987254449,NA,NA,NA,0.0311511458395308,0.0518640126236293,NA,NA,0.026998135850013,0.0317238572845869,0.0263515537035563,NA,NA,0.0317404881071822,0.033010417973874,NA,0.0339627295761628,NA,0.0250361279011251,NA,0.0228176769312769,NA,NA,NA,NA,NA,NA,0.0364407935069287,0.051454759478568,NA,NA,NA,0.0276719455504997,0.0234089945101591,0.0403257344396535,NA,NA,NA,0.0224588353254174,NA,NA,NA,0.0313114844161832,NA,NA
